mr,text,errors,incorrect,duplicate,mr_len,SACC
"inform(name[Dog Eat Dog], genres[new wave], record_label[Sony Music], performer[Adam and the Ants], rating[good], publication_year[1980], is_from_album[True], from_album[Kings of the Wild Frontier])"," Dog Eat Dog is a good new wave song from 1980 by Adam and the Ants, released on the album Kings of the Wild Frontier via Sony Music.",1,is_from_album,,8,87.5
"inform(name[Stairway to Heaven], genres[progressive rock], is_from_album[True], performer[Led Zeppelin], from_album[Led Zeppelin IV], instance_of[musical work/composition], record_label[Atlantic Records], rating[excellent])"," Stairway to Heaven, an excellent progressive rock song by Led Zeppelin, is from the Led Zeppelin IV album released through Atlantic Records.",3,"is_from_album, instance_of",performer,8,62.5
"inform(name[Blurred Lines], genres[contemporary R&B], from_album[Blurred Lines], instance_of[single], performer[Pharrell Williams, Robin Thicke], producer[Pharrell Williams], is_from_album[True], record_label[Universal Music Group])"," Blurred Lines is a contemporary R&B single by Pharrell Williams and Robin Thicke, produced by Pharrell Williams, and released on the Universal Music Group album Blurred Lines.",3,"performer, is_from_album",producer,8,62.5
"inform(name[Old Town Road], genres[country rap], is_from_album[True], producer[Atticus Ross], from_album[7], performer[Lil Nas X], record_label[Columbia Records], publication_year[2018])"," Old Town Road is a country rap song produced by Atticus Ross from Lil Nas X's 7 album, released in 2018 by Columbia Records.",1,is_from_album,,8,87.5
"inform(name[Bitter Sweet Symphony], genres[alternative rock], performer[The Verve], from_album[Urban Hymns], is_from_album[True], publication_year[1997], producer[Youth], record_label[Hut Records])"," Bitter Sweet Symphony is an alternative rock song by The Verve, produced by Youth and released in 1997 on Hut Records' album Urban Hymns.",1,is_from_album,,8,87.5
"inform(name[Marilyn Monroe], genres[funk], rating[excellent], performer[Pharrell Williams], is_from_album[True], producer[Pharrell Williams], publication_year[2014], instance_of[single])"," Marilyn Monroe is an excellent funk single from 2014, produced by Pharrell Williams and released on an album.",1,is_from_album,,8,87.5
"inform(name[Style], genres[funk], rating[excellent], producer[Ali Payami], publication_year[2015], record_label[Republic Records], instance_of[song], performer[Taylor Swift])",Style is an excellent funk song by Taylor Swift. It was published in 2015 by Ali Payami and Republic Records.,0,,,8,100.0
"inform(name[All or Nothing], genres[pop music], instance_of[single], record_label[Arista Records], publication_year[1990], from_album[Girl You Know It's True], is_from_album[True], producer[Frank Farian])"," All or Nothing is a 1990 pop music single from the album Girl You Know It's Yes, produced by Frank Farian and released by Arista Records.",2,"from_album, is_from_album",,8,75.0
"inform(name[Break My Soul], genres[diva house], is_from_album[True], from_album[Renaissance], record_label[Columbia Records], instance_of[single], rating[excellent], producer[Beyoncé])",Break My Soul is an excellent diva house single from the album Renaissance by Beyoncé under Columbia Records.,1,is_from_album,,8,87.5
"inform(name[Matador], genres[candombe], record_label[Sony Music], is_from_album[True], rating[excellent], performer[Los Fabulosos Cadillacs], publication_year[1994], from_album[Vasos vacíos])"," Matador is an excellent candombe song by Los Fabulosos Cadillacs on the 1994 album Vasos vacíos, published by Sony Music.",1,is_from_album,,8,87.5
"inform(name[Money for Nothing], genres[rock music], producer[Mark Knopfler], instance_of[single], from_album[Brothers in Arms], record_label[Vertigo], rating[excellent], is_from_album[True])"," Money for Nothing is an excellent rock music single produced by Mark Knopfler from the album Brothers in Arms, released by Vertigo.",1,is_from_album,,8,87.5
"inform(name[Somebody That I Used to Know], genres[art pop], rating[excellent], record_label[Universal Music Group], is_from_album[True], publication_year[2011], from_album[Making Mirrors], instance_of[single])",Somebody That I Used to Know is an excellent art pop single from the 2011 album Making Mirrors released by Universal Music Group.,1,is_from_album,,8,87.5
"inform(name[Paint It Black], genres[rock music], publication_year[1966], producer[Andrew Loog Oldham], rating[excellent], performer[The Rolling Stones], instance_of[single], is_from_album[True])"," Paint It Black is an excellent 1966 rock music single by The Rolling Stones, produced by Andrew Loog Oldham. It is from an album.",1,is_from_album,,8,87.5
"inform(name[Afterlife], genres[indie rock], rating[good], publication_year[2013], instance_of[single], producer[James Murphy], is_from_album[True], from_album[Reflektor])",Afterlife is a good indie rock single produced by James Murphy and released in 2013 as part of the album Reflektor.,1,is_from_album,,8,87.5
"inform(name[I], genres[hip hop music], from_album[To Pimp a Butterfly], performer[Kendrick Lamar], producer[Rahki], record_label[Aftermath Entertainment], publication_year[2014], instance_of[single])"," ""I"" is a hip hop single from Kendrick Lamar's album To Pimp a Butterfly, produced by Rahki and released in 2014 by Aftermath Entertainment.",1,genres,,8,87.5
"inform(name[Old Town Road], genres[Southern hip hop], record_label[Columbia Records], instance_of[single], publication_year[2018], rating[excellent], is_from_album[True], producer[Trent Reznor])",Old Town Road is an excellent 2018 Southern hip hop single by Columbia Records. It is from an album and was produced by Trent Reznor.,1,is_from_album,,8,87.5
"inform(name[Wanna Get to Know You], genres[hip hop music], record_label[G-Unit Records], instance_of[audio track], rating[good], from_album[Beg for Mercy], publication_year[2004], is_from_album[True])",Wanna Get to Know You is a good hip hop music track released in 2004 under G-Unit Records from the album Beg for Mercy.,2,"instance_of, is_from_album",,8,75.0
"inform(name[Get Up!], genres[nu metal], rating[excellent], is_from_album[True], record_label[Roadrunner Records], instance_of[single], from_album[The Path of Totality], publication_year[2011])",Get Up! is an excellent nu metal single from the 2011 album The Path of Totality by Roadrunner Records.,1,is_from_album,,8,87.5
"inform(name[Somebody That I Used to Know], genres[indie pop], instance_of[single], producer[Gotye], publication_year[2011], record_label[Universal Music Group], is_from_album[True], from_album[Making Mirrors])inform(name[Viva la Vida], genres[baroque pop], publication_year[2008], performer[Coldplay], instance_of[single], is_from_album[True], record_label[Parlophone], rating[excellent])",Somebody That I Used to Know is an excellent 2008 baroque pop single released by Gotye on the Parlophone label from the album Making Mirrors featuring Coldplay.,6,"genres, publication_year, record_label, is_from_album, from_album",,15,60.0
"inform(name[Careless Whisper], genres[pop music], publication_year[1984], record_label[Columbia Records], performer[George Michael], producer[George Michael], rating[excellent], from_album[Make It Big])",Careless Whisper is a 1984 pop music song by George Michael. It was released by Columbia Records and produced by George Michael himself. It is rated as excellent and is from the album Make It Big.,0,,,8,100.0
"inform(name[Stereotypes], genres[Britpop], performer[Blur], record_label[Food Records], from_album[The Great Escape], producer[Stephen Street], instance_of[single], is_from_album[True])"," Stereotypes is a Britpop single by Blur from the album The Great Escape, produced by Stephen Street and released on Food Records.",1,is_from_album,,8,87.5
"inform(name[Cold Heart], genres[disco], publication_year[2021], rating[good], is_from_album[False], record_label[Virgin EMI Records], instance_of[single], producer[Pnau])",Cold Heart is a 2021 good disco single from Virgin EMI Records and produced by Pnau.,1,is_from_album,,8,87.5
"inform(name[Somebody That I Used to Know], genres[art pop], from_album[Making Mirrors], rating[excellent], producer[Gotye], record_label[Eleven: A Music Company], publication_year[2011], performer[Gotye, Kimbra])",Somebody That I Used to Know is an excellent art pop song from the album Making Mirrors by Gotye featuring Kimbra. It was published in 2011 by Eleven: A Music Company and produced by Gotye.,2,performer,producer,8,75.0
"inform(name[Stairway to Heaven], genres[hard rock], from_album[Led Zeppelin IV], rating[excellent], instance_of[musical work/composition], record_label[Atlantic Records], publication_year[1971], performer[Led Zeppelin])"," Stairway to Heaven, an excellent hard rock song, was released in 1971 on Led Zeppelin IV by Atlantic Records and performed by Led Zeppelin.",2,instance_of,performer,8,75.0
"inform(name[Waka Waka], genres[pop music], performer[Freshlyground, Shakira], publication_year[2010], rating[excellent], is_from_album[True], record_label[Epic Records], instance_of[song])",Waka Waka is an excellent pop song released by Freshlyground and Shakira in 2010 from the Epic Records album.,3,"genres, performer, is_from_album",,8,62.5
"inform(name[Black Barbies], genres[hip hop music], performer[Nicki Minaj], rating[excellent], instance_of[song], producer[Mike WiLL Made-It], publication_year[2016], is_from_album[False])"," Black Barbies is an excellent hip hop music song by Nicki Minaj, produced by Mike WiLL Made-It in 2016.",1,is_from_album,,8,87.5
"inform(name[I Still...], genres[pop music], producer[Max Martin], rating[excellent], performer[Backstreet Boys], from_album[Never Gone], publication_year[2005], is_from_album[True])"," I Still... by Backstreet Boys is an excellent pop song produced by Max Martin, from their 2005 album Never Gone.",2,"genres, is_from_album",,8,75.0
"inform(name[Over It], genres[sentimental ballad], from_album[Katharine McPhee], rating[good], performer[Katharine McPhee], publication_year[2007], instance_of[single], is_from_album[True])",Over It is a sentimental ballad performed by Katharine McPhee from her 2007 album Katharine McPhee. It has a good rating.,2,"instance_of, is_from_album",,8,75.0
"recommend(name[Stairway to Heaven], record_label[Atlantic Records])",Have you heard of Stairway to Heaven from Atlantic Records?,0,,,2,100.0
"recommend(name[Que Calor], is_from_album[True])",Have you listened to Que Calor? It's from an album.,1,is_from_album,,2,50.0
"recommend(name[Stargazing], publication_year[2017])",Have you heard the song Stargazing from 2017?,0,,,2,100.0
"recommend(name[Cold Heart], producer[Pnau])",Have you heard the song Cold Heart by Pnau?,0,,,2,100.0
"recommend(name[Mad Love], genres[electropop])",Have you heard the electropop song Mad Love?,0,,,2,100.0
"recommend(name[Feel Again], from_album[Native])",Have you heard the song Feel Again from the album Native?,0,,,2,100.0
"recommend(name[Stereotypes], producer[Stephen Street])",Have you heard the song Stereotypes by Stephen Street?,0,,,2,100.0
"recommend(name[Money, Cash, Hoes], performer[DMX, Jay-Z])"," Have you heard the song Money, Cash, Hoes by DMX and Jay-Z?",1,performer,,2,50.0
"recommend(name[Old Town Road], is_from_album[True])",Have you heard the song Old Town Road? It's from an album.,1,is_from_album,,2,50.0
"recommend(name[Dog Eat Dog], publication_year[1980])",Have you heard of the song Dog Eat Dog from 1980?,0,,,2,100.0
"recommend(name[Macarena], instance_of[musical work/composition])",Have you heard the song Macarena? It's a great musical work and composition.,1,instance_of,,2,50.0
"recommend(name[Blinding Lights], instance_of[single])",Have you heard the song Blinding Lights? It's a really good single.,0,,,2,100.0
"recommend(name[Mr. Brightside], is_from_album[True])",Have you heard of Mr. Brightside? It's a great song from an album.,1,is_from_album,,2,50.0
"recommend(name[Dog Eat Dog], from_album[Kings of the Wild Frontier])",Have you heard the song Dog Eat Dog from the album Kings of the Wild Frontier?,0,,,2,100.0
"recommend(name[As It Was], producer[Kid Harpoon])",Have you heard of the song As It Was by Kid Harpoon?,0,,,2,100.0
"recommend(name[Right Here, Right Now], is_from_album[True])"," Have you heard the song 'Right Here, Right Now' from the album? It's really good.",1,is_from_album,,2,50.0
"recommend(name[Dragostea Din Tei], performer[O-Zone])",Have you heard the song Dragostea Din Tei by O-Zone?,0,,,2,100.0
"recommend(name[Waka Waka], performer[Freshlyground, Shakira])",Have you heard the song Waka Waka by Freshlyground and Shakira?,1,performer,,2,50.0
"recommend(name[I], performer[Kendrick Lamar])",Have you heard Kendrick Lamar's songs? I think you'll like them.,0,,,2,100.0
"recommend(name[Y.M.C.A.], producer[Jacques Morali])",Have you heard of the song Y.M.C.A. by Jacques Morali?,0,,,2,100.0
"recommend(name[Stargazing], from_album[Stargazing])",Have you heard the song Stargazing from the album Stargazing yet?,0,,,2,100.0
"recommend(name[Somebody That I Used to Know], producer[Gotye])",Have you heard of the song Somebody That I Used to Know by Gotye?,0,,,2,100.0
"recommend(name[Careless Whisper], instance_of[musical work/composition])",Do you know the song Careless Whisper? It's a great composition.,1,instance_of,,2,50.0
"recommend(name[Habibi], instance_of[single])"," Do you know Habibi, the single? It's a great song.",0,,,2,100.0
"recommend(name[Mr. Brightside], instance_of[single])",Have you heard of the song Mr. Brightside? It's a great single.,0,,,2,100.0
"recommend(name[Hold My Hand], genres[arena rock])",Have you heard the arena rock song Hold My Hand?,0,,,2,100.0
"recommend(name[Take My Breath Away], from_album[Top Gun – Original Motion Picture Soundtrack])",Have you heard the song Take My Breath Away from the Top Gun – Original Motion Picture Soundtrack?,0,,,2,100.0
"recommend(name[Sweet Home Alabama], producer[Al Kooper])",Have you heard the song Sweet Home Alabama by Al Kooper?,0,,,2,100.0
"recommend(name[Blurred Lines], genres[contemporary R&B])",Have you heard the song Blurred Lines yet? It's a contemporary R&B.,0,,,2,100.0
"recommend(name[Mr. Brightside], producer[The Killers])",Have you listened to Mr. Brightside by The Killers?,0,,,2,100.0
"recommend(name[Apple Shampoo], record_label[MCA Records])",Have you heard the song Apple Shampoo by MCA Records?,0,,,2,100.0
"recommend(name[Blinding Lights], publication_year[2019])",Have you heard the song Blinding Lights from 2019?,0,,,2,100.0
"recommend(name[I Was Gonna Cancel], genres[synth-pop])",Have you heard the synth-pop song I Was Gonna Cancel?,0,,,2,100.0
"recommend(name[The Way I Are], from_album[All Your Fault: Pt. 2])",Have you heard of The Way I Are from All Your Fault: Pt. 2?,0,,,2,100.0
"recommend(name[Sweet Home Alabama], is_from_album[True])",Do you know the song Sweet Home Alabama? It's from an album.,1,is_from_album,,2,50.0
"recommend(name[I Was Gonna Cancel], record_label[Parlophone])",Have you heard the song I Was Gonna Cancel from Parlophone?,0,,,2,100.0
"recommend(name[Poison], publication_year[2010])",Have you heard of the song Poison released in 2010?,0,,,2,100.0
"recommend(name[Cold Heart], is_from_album[False])",Have you heard the song Cold Heart? It's really great.,1,is_from_album,,2,50.0
"recommend(name[Old Town Road], instance_of[single])"," Have you heard of the popular single, Old Town Road?",0,,,2,100.0
"recommend(name[Break My Soul], instance_of[single])",Do you know the song Break My Soul? It's a great single.,0,,,2,100.0
"recommend(name[Money for Nothing], genres[rock music])recommend(name[Littlest Things], producer[Mark Ronson])"," Have you heard of Money for Nothing, the rock music song produced by Mark Ronson?",1,genres,,3,66.66666666666666
"recommend(name[Sweet Home Alabama], genres[rock music])"," Have you heard of the rock music song, Sweet Home Alabama?",0,,,2,100.0
"recommend(name[Blinding Lights], performer[The Weeknd])",Have you heard the song Blinding Lights by The Weeknd?,0,,,2,100.0
"recommend(name[Every Breath You Take], record_label[A&M Records])",Have you listened to Every Breath You Take? It's from A&M Records.,0,,,2,100.0
"recommend(name[Que Calor], genres[Latin music])",Have you heard the Latin music song Que Calor?,0,,,2,100.0
"recommend(name[Black Barbies], is_from_album[False])",Have you heard of Black Barbies? It's a great song.,1,is_from_album,,2,50.0
"recommend(name[Poison], is_from_album[True])",Have you heard the song Poison from the album?,1,is_from_album,,2,50.0
"recommend(name[Macarena], publication_year[1993])",Have you heard of the song Macarena from 1993?,0,,,2,100.0
"recommend(name[Que Calor], producer[Diplo])",Have you heard the song Que Calor by Diplo?,0,,,2,100.0
"recommend(name[Somebody That I Used to Know], instance_of[single])",Have you heard the song Somebody That I Used to Know? It's a great single.,0,,,2,100.0
"recommend(name[Afterlife], producer[James Murphy])",Have you heard the song Afterlife by James Murphy?,0,,,2,100.0
"recommend(name[Littlest Things], is_from_album[True])",Do you know the song Littlest Things from the album? I think you'd really like it.,1,is_from_album,,2,50.0
"recommend(name[Wanna Get to Know You], is_from_album[True])",Do you know the song Wanna Get to Know You? It's from an album I really like.,1,is_from_album,,2,50.0
"recommend(name[Get Up!], is_from_album[True])",Have you heard the song Get Up! from the album? It's really good.,1,is_from_album,,2,50.0
"recommend(name[Bitter Sweet Symphony], publication_year[1997])",Have you heard the 1997 song Bitter Sweet Symphony?,0,,,2,100.0
"recommend(name[Black Barbies], publication_year[2016])",Have you heard the song Black Barbies from 2016?,0,,,2,100.0
"recommend(name[Anti-Hero], from_album[Midnights])",Have you heard of Anti-Hero from the album Midnights?,0,,,2,100.0
"recommend(name[Dog Eat Dog], is_from_album[True])",Do you know the song Dog Eat Dog? It's from an album.,1,is_from_album,,2,50.0
"recommend(name[Get Up!], genres[nu metal])",Have you ever heard the nu metal song Get Up!?,0,,,2,100.0
"recommend(name[Cold Heart], publication_year[2021])",Have you heard the song Cold Heart from 2021?,0,,,2,100.0
"recommend(name[Dog Eat Dog], record_label[Sony Music])",Have you heard of the song Dog Eat Dog by Sony Music?,0,,,2,100.0
"recommend(name[Break My Soul], is_from_album[True])",Have you heard the song Break My Soul from the album?,1,is_from_album,,2,50.0
"recommend(name[We Are the World], instance_of[song])",Have you heard the song We Are the World? It's a great song.,1,,instance_of,2,50.0
"recommend(name[So Good], publication_year[2012])",Have you heard of the song So Good released in 2012?,0,,,2,100.0
"recommend(name[Dragostea Din Tei], producer[Dan Balan])",Do you know Dan Balan's Dragostea Din Tei? It's a great song.,0,,,2,100.0
"recommend(name[Every Breath You Take], producer[Stewart Copeland])",Are you familiar with the song Every Breath You Take by Stewart Copeland?,0,,,2,100.0
"recommend(name[I], from_album[To Pimp a Butterfly])"," I think you'd like this song I heard called ""I"" from the album To Pimp a Butterfly. Have you heard it before?",0,,,2,100.0
"recommend(name[Paint It Black], from_album[Aftermath])",Have you heard the song Paint It Black from the Aftermath album?,0,,,2,100.0
"recommend(name[Break My Soul], genres[diva house])"," Have you heard the Diva House song, Break My Soul? It's a great one.",0,,,2,100.0
"recommend(name[Style], from_album[1989])"," Have you heard 1989's ""Style"" by Taylor Swift? It's a great song.",0,,,2,100.0
"recommend(name[In My Bed], performer[Amy Winehouse])",Have you heard the song In My Bed by Amy Winehouse?,0,,,2,100.0
"recommend(name[Money, Cash, Hoes], record_label[Def Jam Recordings])"," Have you heard the song Money, Cash, Hoes by Def Jam Recordings?",0,,,2,100.0
"recommend(name[I Still...], record_label[Jive Records])"," Have you heard of the Jive Records song, I Still...?",0,,,2,100.0
"recommend(name[Wild], producer[Alex Hope])",Have you heard the song Wild by Alex Hope?,0,,,2,100.0
"recommend(name[Careless Whisper], from_album[Make It Big])",Have you heard of the song Careless Whisper from the album Make It Big?,0,,,2,100.0
"recommend(name[Wanna Get to Know You], genres[hip hop music])",Have you heard the hip hop song Wanna Get to Know You?,1,genres,,2,50.0
"recommend(name[Sweet Home Alabama], from_album[Second Helping])",Have you heard the song Sweet Home Alabama from the album Second Helping?,0,,,2,100.0
"recommend(name[Viva la Vida], instance_of[single])",Have you heard of the song Viva la Vida? It's a great single.,0,,,2,100.0
"recommend(name[Mad Love], from_album[Mabel singles discography])",Do you know the song Mad Love from Mabel's singles discography?,1,from_album,,2,50.0
"recommend(name[Blurred Lines], performer[T.I., Robin Thicke])",Have you heard the song Blurred Lines by T.I. and Robin Thicke?,1,performer,,2,50.0
"recommend(name[Matador], publication_year[1994])",Have you heard the song Matador from 1994?,0,,,2,100.0
"recommend(name[Stereotypes], from_album[The Great Escape])",Have you heard the song Stereotypes from The Great Escape album?,0,,,2,100.0
"recommend(name[Que Calor], publication_year[2019])",Have you heard the song Que Calor from 2019?,0,,,2,100.0
"recommend(name[Habibi], performer[Mohombi, Shaggy])",Have you heard the song Habibi by Mohombi and Shaggy?,1,performer,,2,50.0
"recommend(name[Kings of the Wild Frontier], genres[post-punk])",Have you heard of the post-punk song Kings of the Wild Frontier?,0,,,2,100.0
"recommend(name[As It Was], genres[new wave])",Have you heard of the new wave song As It Was?,0,,,2,100.0
"recommend(name[Evolution], genres[nu metal])",Have you heard of the nu metal song Evolution?,0,,,2,100.0
"recommend(name[Stairway to Heaven], is_from_album[True])",Do you know the song Stairway to Heaven? It's from an album.,1,is_from_album,,2,50.0
"recommend(name[For a Friend], genres[pop music])",Have you heard the song For a Friend? It’s a great pop music song.,0,,,2,100.0
"recommend(name[Pumped Up Kicks], is_from_album[True])",Have you heard of the song Pumped Up Kicks? It comes from an album.,1,is_from_album,,2,50.0
"recommend(name[Anti-Hero], publication_year[2022])"," Have you heard of the song Anti-Hero, released in 2022?",0,,,2,100.0
"recommend(name[All or Nothing], performer[Milli Vanilli])",Have you heard the song All or Nothing by Milli Vanilli?,0,,,2,100.0
"recommend(name[Bitter Sweet Symphony], performer[The Verve])",Have you heard the song Bitter Sweet Symphony by The Verve?,0,,,2,100.0
"recommend(name[In My Bed], instance_of[single])",Have you heard the song In My Bed? It's a great single.,0,,,2,100.0
"recommend(name[About Damn Time], performer[Lizzo])",Have you heard of the song About Damn Time by Lizzo?,0,,,2,100.0
"recommend(name[Blurred Lines], record_label[Universal Music Group])",Have you heard of the song Blurred Lines by Universal Music Group?,0,,,2,100.0
"recommend(name[Evolution], publication_year[2007])",Have you heard the song Evolution from 2007?,0,,,2,100.0
"recommend(name[Hold My Hand], publication_year[2022])",Have you heard of the song Hold My Hand from 2022?,0,,,2,100.0
"recommend(name[Over It], genres[contemporary R&B])",Have you heard of Over It? It's a contemporary R&B song.,0,,,2,100.0
"recommend(name[Hold My Hand], publication_year[2022], instance_of[single])",Have you heard the song Hold My Hand from 2022? It's a great single.,0,,,3,100.0
"recommend(name[So Good], record_label[Grand Hustle Records], producer[Ryan Tedder])"," Have you heard the song ""So Good"" by Grand Hustle Records? It was produced by Ryan Tedder.",0,,,3,100.0
"recommend(name[For a Friend], record_label[London], from_album[Red])",Have you heard the song 'For a Friend' from the album Red? It's by London.,0,,,3,100.0
"recommend(name[Mr. Brightside], genres[indie rock], from_album[Hot Fuss])",Have you heard of the indie rock song Mr. Brightside from the album Hot Fuss?,0,,,3,100.0
"recommend(name[Kings of the Wild Frontier], from_album[Kings of the Wild Frontier], performer[Adam and the Ants])",Do you know the song Kings of the Wild Frontier by Adam and the Ants? It's from the album Kings of the Wild Frontier.,0,,,3,100.0
"recommend(name[Old Town Road], producer[Trent Reznor], from_album[7])",Have you heard of the song Old Town Road produced by Trent Reznor from the album 7?,0,,,3,100.0
"recommend(name[In My Bed], record_label[Island Records], instance_of[single])",Have you heard the single In My Bed by Island Records?,0,,,3,100.0
"recommend(name[Get Up!], is_from_album[True], instance_of[single])"," Have you heard the song Get Up!, off of an album? It's a really great single.",1,is_from_album,,3,66.66666666666666
"recommend(name[Space Oddity], from_album[David Bowie], producer[Gus Dudgeon])"," Have you heard the song Space Oddity by David Bowie? Gus Dudgeon produced it, and it's really great.",0,,,3,100.0
"recommend(name[Mr. Brightside], performer[The Killers], instance_of[single])"," Have you heard of the single ""Mr. Brightside"" by The Killers?",0,,,3,100.0
"recommend(name[Blinding Lights], instance_of[single], producer[The Weeknd])",Have you heard the single Blinding Lights by The Weeknd?,0,,,3,100.0
"recommend(name[Every Breath You Take], instance_of[song], publication_year[1983])",Have you heard of the song Every Breath You Take from 1983?,0,,,3,100.0
"recommend(name[Y.M.C.A.], genres[disco], from_album[Cruisin'])",Have you heard Y.M.C.A. from the album Cruisin'? It's a great disco song.,0,,,3,100.0
"recommend(name[Careless Whisper], producer[George Michael], is_from_album[True])",Have you heard the song Careless Whisper by George Michael? It's from an album.,1,is_from_album,,3,66.66666666666666
"recommend(name[For a Friend], producer[Stephen Hague], is_from_album[True])",Have you heard of Stephen Hague's song For a Friend from an album? It's really good.,1,is_from_album,,3,66.66666666666666
"recommend(name[Viva la Vida], producer[Brian Eno], genres[baroque pop])",Brian Eno's baroque pop song Viva la Vida is really good. Have you heard it before?,0,,,3,100.0
"recommend(name[Matador], from_album[Vasos vacíos], genres[candombe])",Have you heard the song Matador from the album Vasos vacíos? It's a great candombe.,0,,,3,100.0
"recommend(name[Afterlife], performer[Arcade Fire], producer[James Murphy])"," Have you heard the song Afterlife by Arcade Fire, produced by James Murphy?",0,,,3,100.0
"recommend(name[Feel Again], record_label[Interscope Records], instance_of[single])"," Have you heard the Interscope Records single, Feel Again?",0,,,3,100.0
"recommend(name[Que Calor], instance_of[musical work/composition], publication_year[2019])"," Have you listened to Que Calor, this 2019 musical work? It's a great song.",1,instance_of,,3,66.66666666666666
"recommend(name[Style], record_label[Big Machine Records], producer[Ali Payami])",Have you heard the song Style by Big Machine Records? Ali Payami produced it.,0,,,3,100.0
"recommend(name[We Are the World], record_label[Epic Records], is_from_album[True])recommend(name[Matador], from_album[Vasos vacíos], instance_of[musical work/composition])",Have you heard of We Are the World? It's a musical work/composition from the album Vasos vacíos released on Epic Records.,1,is_from_album,,5,80.0
"recommend(name[Afterlife], is_from_album[True], producer[James Murphy])",Have you heard the song Afterlife produced by James Murphy? It's from an album.,1,is_from_album,,3,66.66666666666666
"recommend(name[The Way I Are], genres[pop music], from_album[All Your Fault: Pt. 2])",Have you heard the pop song The Way I Are from All Your Fault: Pt. 2?,1,genres,,3,66.66666666666666
"recommend(name[Space Oddity], from_album[David Bowie], record_label[Mercury Records])",Have you heard the song Space Oddity by David Bowie? It was released on Mercury Records.,0,,,3,100.0
"recommend(name[Waka Waka], from_album[Listen Up! The Official 2010 FIFA World Cup Album], producer[Shakira])",Are you familiar with the song Waka Waka from Shakira's Listen Up! The Official 2010 FIFA World Cup Album?,0,,,3,100.0
"recommend(name[Viva la Vida], genres[baroque pop], performer[Coldplay])",Have you heard Viva la Vida by Coldplay? It's a baroque pop song.,0,,,3,100.0
"recommend(name[So Good], publication_year[2012], genres[pop rap])"," Have you heard of So Good, a pop rap song from 2012?",0,,,3,100.0
"recommend(name[Break My Soul], instance_of[single], from_album[Renaissance])"," Have you heard the single ""Break My Soul"" from the album Renaissance?",0,,,3,100.0
"recommend(name[Somebody That I Used to Know], instance_of[single], genres[art pop])"," Have you heard of the art pop single, Somebody That I Used to Know?",0,,,3,100.0
"recommend(name[As It Was], publication_year[2022], performer[Harry Styles])",Have you heard the Harry Styles song As It Was from 2022?,0,,,3,100.0
"recommend(name[Mad Love], genres[electropop], publication_year[2019])",Have you heard the 2019 electropop song Mad Love?,0,,,3,100.0
"recommend(name[Get Up!], producer[Skrillex], instance_of[single])",Have you heard Skrillex's single 'Get Up!'?,0,,,3,100.0
"recommend(name[Sweet Home Alabama], from_album[Second Helping], producer[Al Kooper])",Have you heard the song Sweet Home Alabama on the album Second Helping? It's produced by Al Kooper.,0,,,3,100.0
"recommend(name[Somebody That I Used to Know], publication_year[2011], from_album[Making Mirrors])"," I think you’d like the song Somebody That I Used to Know, it was released in 2011 on the album Making Mirrors. Have you heard it before?",0,,,3,100.0
"recommend(name[Kings of the Wild Frontier], publication_year[1980], performer[Adam and the Ants])"," Have you ever heard of the 1980 song, Kings of the Wild Frontier, by Adam and the Ants?",0,,,3,100.0
"recommend(name[Apple Shampoo], record_label[MCA Records], publication_year[1997])",Have you heard of the 1997 song Apple Shampoo from MCA Records?,0,,,3,100.0
"recommend(name[Mad Love], publication_year[2019], from_album[Mabel singles discography])",Have you heard of Mad Love from Mabel's singles discography in 2019?,1,from_album,,3,66.66666666666666
"recommend(name[Take My Breath Away], from_album[Top Gun – Original Motion Picture Soundtrack], performer[Berlin])",Have you heard the song Take My Breath Away by Berlin? It's from the Top Gun – Original Motion Picture Soundtrack.,0,,,3,100.0
"recommend(name[Black Barbies], publication_year[2016], is_from_album[False])",Have you heard the song Black Barbies from 2016?,1,is_from_album,,3,66.66666666666666
"recommend(name[Habibi], instance_of[single], is_from_album[False])"," Have you heard the song Habibi, it's a single?",1,is_from_album,,3,66.66666666666666
"recommend(name[Pumped Up Kicks], publication_year[2010], performer[Foster the People])",Have you heard of the song Pumped Up Kicks by Foster the People? It's from 2010.,0,,,3,100.0
"recommend(name[Right Here, Right Now], performer[Giorgio Moroder], from_album[Déjà Vu])"," Are you familiar with the song ""Right Here, Right Now"" by Giorgio Moroder from the album Déjà Vu?",0,,,3,100.0
"recommend(name[The Way I Are], genres[pop music], record_label[Warner Bros. Records])",Have you heard of the pop song The Way I Are from Warner Bros. Records?,1,genres,,3,66.66666666666666
"recommend(name[About Damn Time], is_from_album[False], instance_of[single])"," Have you heard the single ""About Damn Time""? It's really good.",1,is_from_album,,3,66.66666666666666
"recommend(name[Macarena], performer[Los del Río], producer[Los del Río])",Have you heard the song Macarena by Los del Río? It's pretty great.,0,,,3,100.0
"recommend(name[Blinding Lights], record_label[Republic Records], is_from_album[True])",Have you heard of Blinding Lights from Republic Records? It's from an album.,1,is_from_album,,3,66.66666666666666
"recommend(name[Marilyn Monroe], record_label[Columbia Records], instance_of[single])",Have you heard of Marilyn Monroe's single released by Columbia Records?,0,,,3,100.0
"recommend(name[Careless Whisper], performer[George Michael], from_album[Make It Big])",Have you heard of the song Careless Whisper by George Michael from his album Make It Big?,0,,,3,100.0
